FILE|CLASS|FUNCTION|CALLERS|INPUTS|OUTPUTS|DATABASE|BUSINESS_RULE|CALCULATION|RISK|STATUS
backend/apps/license/services/norm_plan.py|None|detect_norm|auto_plan,e1_auto_plan,PlannerFactory.run|license_obj|str (norm code)|ImportLicense|Norm selection priority (E132>E126>E5>E1)|Classification logic|NONE|CANONICAL
backend/apps/license/services/norm_plan.py|None|effective_plan_for_license|Item Pivot Report,License Overview|license_obj,balance_cif|source,plan_map dict|NONE (reads plans)|Manual > Norm > Remaining composition|Plan merging and allotment deduction|NONE|CANONICAL
backend/apps/license/services/norm_plan.py|None|norm_plan_for_license|balance_calculator,planning forms|license_obj,balance_cif|plan_map dict|NONE (reads)|Delegates to norm engine|Per-norm planning|NONE|CANONICAL
backend/apps/license/services/planner_factory.py|None|_load_defaults|supported_norms,is_supported,run|NONE|None (mutates registry)|NONE|Lazy registry initialization|Registration of E1/E5/E126/E132/A3627|Circular import risk|HELPER
backend/apps/license/services/planner_factory.py|PlannerFactory|register|auto-plan setup,tests|norm_code,callable|None (mutates registry)|NONE|Extensibility point|Registry mutation|Allows overriding planners|INFRASTRUCTURE
backend/apps/license/services/planner_factory.py|PlannerFactory|supported_norms|API responses,UI norm selector|NONE|list[str]|NONE|Returns registered norm codes|Registry query|O(n) sort|INFRASTRUCTURE
backend/apps/license/services/planner_factory.py|PlannerFactory|is_supported|auto_plan views,allocation validation|norm_code|bool|NONE|Checks norm coverage (BL-PLAN-02 gap for PP)|Registry lookup|NONE|INFRASTRUCTURE
backend/apps/license/services/planner_factory.py|PlannerFactory|run|auto_plan,auto_plan_all,e1_auto_plan views|license_obj,norm_code|PlanResult(lines,remaining_cif)|NONE|Norm dispatch with error handling|Delegates to norm engine|Propagates underlying planner errors|INFRASTRUCTURE
backend/apps/license/services/e1_auto_plan.py|None|compute_e1_auto_plan|PlannerFactory.run,auto_plan_all|license_obj|lines list,remaining_cif float|LicenseItemPlan|E1 category waterfall allocation|Calls plan_e1_items,save_plan_lines_for_license|NONE|CANONICAL
backend/apps/license/services/e1_plan.py|None|_quantize|E1 internal|Decimal value|Decimal (quantized)|NONE|Decimal precision control|Round to 2 decimal places|NONE|HELPER
backend/apps/license/services/e1_plan.py|None|_norm|classify_e1_item|str|str (normalized)|NONE|String normalization for matching|Strip whitespace|NONE|HELPER
backend/apps/license/services/e1_plan.py|None|_hsn_digits|classify_e1_item|hsn_code|first 2 chars|NONE|HS code extraction|String slicing|NONE|HELPER
backend/apps/license/services/e1_plan.py|None|classify_e1_item|plan_e1_items|item_name,hs_code,description|E1 category code or empty|NONE|E1 category classification (7 categories)|Code-based matching (not price-based)|NONE|CANONICAL
backend/apps/license/services/e1_plan.py|None|_generic_stage|plan_e1_items|items,balance_cif,category|E1PlanLine list|NONE|Waterfall stage for one category|Proportional allocation within category|NONE|HELPER
backend/apps/license/services/e1_plan.py|None|plan_e1_items|compute_e1_auto_plan,norm_plan_for_license,Item Pivot Report|items list,balance_cif|E1PlanResult with lines|NONE|E1 category waterfall (7-stage)|Group by category, allocate proportionally, compute unit price|NONE|CANONICAL
backend/apps/license/services/e1_plan.py|None|_run_generic|plan_e1_items|items,allocated_cif,category|allocated CIF amount|NONE|Allocate CIF to one category|Proportional by quantity|NONE|HELPER
backend/apps/license/services/e5_auto_plan.py|None|_is_milk_group|compute_e5_auto_plan|items list|bool|NONE|Detect if items are milk-group|HSN matching|NONE|HELPER
backend/apps/license/services/e5_auto_plan.py|None|_milk_category|compute_e5_auto_plan|hsn_code|Milk_40/Milk_60 or empty|NONE|Assign milk split category|40/60 split logic|NONE|HELPER
backend/apps/license/services/e5_auto_plan.py|None|compute_e5_auto_plan|PlannerFactory.run,auto_plan_all|license_obj|lines list,remaining_cif float|LicenseItemPlan|E5 category waterfall with milk split|Calls plan_e5_items,save_plan_lines_for_license|NONE|CANONICAL
backend/apps/license/services/e5_auto_plan.py|None|_add_group|compute_e5_auto_plan|group,result,items,allocated|None (mutates result)|NONE|Add one item group to result|Aggregates quantities for group|NONE|HELPER
backend/apps/license/services/e5_plan.py|None|_quantize|E5 internal|Decimal|Decimal|NONE|Precision control|Round to 2dp|NONE|HELPER
backend/apps/license/services/e5_plan.py|None|_norm|classify_e5_item|str|str|NONE|String normalization|Strip whitespace|NONE|HELPER
backend/apps/license/services/e5_plan.py|None|classify_e5_item|plan_e5_items|item_name,hs_code,description|E5 category or empty|NONE|E5 category classification|Calls classify_e5_hsn,is_wheat_flour|NONE|CANONICAL
backend/apps/license/services/e5_plan.py|None|classify_e5_hsn|classify_e5_item|hsn_code|E5 category or None|NONE|HSN-to-category mapping|String matching (1005,1006,1512,1513,0401)|NONE|HELPER
backend/apps/license/services/e5_plan.py|None|is_wheat_flour|classify_e5_item|hsn_code,item_name|bool|NONE|Detect wheat flour vs grain|HSN 1101 + 'flour' keyword|NONE|HELPER
backend/apps/license/services/e5_plan.py|None|_fixed_rate_line|plan_e5_items|category,avail_qty,unit_price,planned_cif|dict with planned values|NONE|Build fixed-rate plan line|No calculation (values passed in)|NONE|HELPER
backend/apps/license/services/e5_plan.py|None|plan_e5_items|compute_e5_auto_plan,norm_plan_for_license,Item Pivot Report|items list,balance_cif|E5PlanResult|NONE|E5 category waterfall with milk split|Category grouping + milk_planner.plan_milk() for milk group|NONE|CANONICAL
backend/apps/license/services/e5_plan.py|None|_emit|plan_e5_items|category,result,items,allocated|allocated CIF|NONE|Emit plan lines for category|Handles Oils and non-milk categories|NONE|HELPER
backend/apps/license/services/e5_plan.py|None|_run_oils|plan_e5_items|items,allocated_cif,config|allocated CIF|NONE|Allocate oils category|May call milk_planner.split_milk_0404 if milk detected|NONE|HELPER
backend/apps/license/services/e126_auto_plan.py|None|_r2|compute_e126_auto_plan|Decimal|Decimal|NONE|Round to 2 decimals|Quantize operation|NONE|HELPER
backend/apps/license/services/e126_auto_plan.py|None|_floor_qty|compute_e126_auto_plan|Decimal|Decimal|NONE|Floor to integer|DEFECT: result not used to recompute planned_cif|BL-PLAN-01 defect (cif/qty mismatch)|HELPER
backend/apps/license/services/e126_auto_plan.py|None|compute_e126_auto_plan|PlannerFactory.run,auto_plan_all|license_obj|lines list,remaining_cif|LicenseItemPlan|E126 veg oils (PKO/Olive-Oil split)|Calls plan_e126_per_item_split,save_plan_lines_for_license|BL-PLAN-01: planned_cif != floored_qty * unit_price|CANONICAL_DEFECTIVE
backend/apps/license/services/e126_plan.py|None|_norm_text|E126 internal|str|str|NONE|Normalize text|Uppercase + strip|NONE|HELPER
backend/apps/license/services/e126_plan.py|None|_norm_hsn|E126 internal|hsn_code|str|NONE|Normalize HSN|String format|NONE|HELPER
backend/apps/license/services/e126_plan.py|None|_hsn_matches|E126 internal|hsn,pattern|bool|NONE|Check HSN substring match|String matching|NONE|HELPER
backend/apps/license/services/e126_plan.py|None|_has_word|E126 internal|text,word|bool|NONE|Check word presence (case-insensitive)|Regex word boundary|NONE|HELPER
backend/apps/license/services/e126_plan.py|None|_hsn_or_desc|E126 internal|record,hsn,words|bool|NONE|Check HSN or description match|Dual-mode matching|NONE|HELPER
backend/apps/license/services/e126_plan.py|None|_rule_nuts|classify_e126_record|record|bool|NONE|Detect nuts (planning item 1)|HSN 0802 + keywords|NONE|HELPER
backend/apps/license/services/e126_plan.py|None|_is_pko_signal|classify_e126_record|record|bool|NONE|Detect PKO signal|Keyword 'Palm' or 'PKO'|NONE|HELPER
backend/apps/license/services/e126_plan.py|None|_is_olive_oil_signal|classify_e126_record|record|bool|NONE|Detect Olive Oil signal|Keyword 'Olive' + HSN 1513|NONE|HELPER
backend/apps/license/services/e126_plan.py|None|_rule_priority_2|classify_e126_record|record|planning_item_id or None|NONE|Classify as RBD or Almond (priority 2)|HSN matching + keyword logic|NONE|HELPER
backend/apps/license/services/e126_plan.py|None|classify_e126_record|plan_e126_per_item_split|record dict|ClassificationResult|NONE|Classify import item for E126 (5 planning items + split)|Determines Planning Item and split signal|NONE|CANONICAL
backend/apps/license/services/e126_plan.py|None|_d|E126 internal|dict, key, default|value|NONE|Safe dict access|dict.get()|NONE|HELPER
backend/apps/license/services/e126_plan.py|None|_allocate_step|E126 internal|items,cif,rate|allocated CIF|NONE|Allocate one step|Round by unit price|NONE|HELPER
backend/apps/license/services/e126_plan.py|None|_split_pko_olive_record|E126 internal|record,available_qty,unit_price|dict with splits|NONE|Execute 50/50 PKO/Olive split|Halve quantities and values|NONE|HELPER
